epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.3533,1.3845,3.15695,1.28357,0.31599,0.19678,0.10068,0.0643,1.22319,2.82165,1.37744,0.000368642,0.000368642,0.000368642
2,134.18,1.45621,2.66179,1.32192,0.33154,0.18863,0.09947,0.06104,1.40178,2.50815,1.45631,0.000720686,0.000720686,0.000720686
3,199.16,1.47769,2.44027,1.34218,0.34622,0.19492,0.10074,0.06029,1.34583,2.41421,1.48319,0.0010544,0.0010544,0.0010544
4,263.375,1.49724,2.36435,1.34852,0.30912,0.1968,0.11754,0.07318,1.33739,2.51294,1.4363,0.00102851,0.00102851,0.00102851
5,326.436,1.44142,2.25023,1.32344,0.35242,0.17769,0.12862,0.08228,1.28444,2.22039,1.39869,0.00100101,0.00100101,0.00100101
6,390.438,1.41066,2.15499,1.31081,0.40251,0.19059,0.14712,0.09524,1.29171,2.14508,1.39999,0.000973514,0.000973514,0.000973514
7,453.667,1.39954,2.12191,1.29848,0.39466,0.15773,0.13144,0.08791,1.1978,2.18899,1.36255,0.000946016,0.000946016,0.000946016
8,517.693,1.36578,2.05632,1.27534,0.33605,0.23238,0.14539,0.09571,1.18133,2.11891,1.32716,0.000918519,0.000918519,0.000918519
9,583.107,1.33923,2.00177,1.25516,0.36777,0.20975,0.14753,0.10043,1.12841,2.06907,1.28129,0.000891022,0.000891022,0.000891022
10,650.29,1.33028,1.98383,1.25225,0.41018,0.23237,0.16935,0.11881,1.12374,1.98795,1.2854,0.000863525,0.000863525,0.000863525
11,714.645,1.30509,1.9212,1.23023,0.19253,0.22567,0.16117,0.11425,1.13664,2.05454,1.2758,0.000836027,0.000836027,0.000836027
12,778.956,1.31132,1.90444,1.22815,0.37282,0.21454,0.15614,0.10916,1.08548,1.98033,1.25688,0.00080853,0.00080853,0.00080853
13,843.129,1.29652,1.87801,1.22459,0.40467,0.21459,0.16796,0.11828,1.05303,1.92845,1.2353,0.000781033,0.000781033,0.000781033
14,908.332,1.28014,1.83797,1.21659,0.3967,0.24144,0.15903,0.11084,1.06792,2.00133,1.24182,0.000753536,0.000753536,0.000753536
15,973.845,1.27143,1.82558,1.21293,0.39686,0.24158,0.16993,0.1192,1.04771,2.03539,1.24184,0.000726038,0.000726038,0.000726038
16,1039.07,1.24161,1.78758,1.19532,0.18613,0.2391,0.16482,0.11146,1.10678,1.92657,1.25964,0.000698541,0.000698541,0.000698541
17,1105,1.23842,1.74428,1.18734,0.39456,0.26857,0.185,0.12898,1.06157,1.9229,1.2298,0.000671044,0.000671044,0.000671044
18,1170.73,1.21884,1.70565,1.18202,0.36656,0.26887,0.15755,0.11137,1.0715,2.0201,1.23111,0.000643547,0.000643547,0.000643547
19,1236.39,1.21431,1.6716,1.16942,0.19082,0.21692,0.18294,0.13282,1.02476,1.87109,1.19847,0.000616049,0.000616049,0.000616049
20,1301.91,1.2064,1.63627,1.16458,0.40304,0.24116,0.16402,0.11575,1.03158,1.99734,1.19039,0.000588552,0.000588552,0.000588552
21,1367.84,1.19649,1.63308,1.16594,0.44476,0.21782,0.19767,0.14008,1.05609,1.89143,1.23971,0.000561055,0.000561055,0.000561055
22,1433.8,1.19232,1.60425,1.16683,0.19463,0.2627,0.16746,0.11956,0.99866,1.96502,1.18765,0.000533558,0.000533558,0.000533558
23,1498.75,1.17064,1.56645,1.15021,0.42246,0.23294,0.18832,0.13294,1.01433,1.8662,1.19703,0.00050606,0.00050606,0.00050606
24,1564.67,1.17478,1.53471,1.14782,0.38384,0.24335,0.1605,0.11215,1.04339,2.07336,1.2184,0.000478563,0.000478563,0.000478563
25,1630.43,1.148,1.49255,1.1375,0.19283,0.25472,0.17961,0.13021,0.98959,1.8738,1.17037,0.000451066,0.000451066,0.000451066
26,1695.92,1.1377,1.45538,1.13465,0.41326,0.25093,0.1814,0.12889,0.99183,1.86475,1.17857,0.000423569,0.000423569,0.000423569
27,1760.4,1.13787,1.43422,1.12601,0.41344,0.22529,0.17657,0.12529,0.97857,1.9268,1.17913,0.000396071,0.000396071,0.000396071
28,1824.59,1.11458,1.41764,1.12134,0.43546,0.24466,0.18436,0.13222,0.99879,1.91484,1.19317,0.000368574,0.000368574,0.000368574
29,1888.67,1.10597,1.37711,1.11431,0.41826,0.22049,0.17727,0.12705,0.98736,2.01176,1.17738,0.000341077,0.000341077,0.000341077
30,1952.88,1.12671,1.35729,1.10782,0.22282,0.24088,0.18744,0.13702,0.96796,1.87932,1.17056,0.00031358,0.00031358,0.00031358
31,2016.68,1.08619,1.32637,1.07698,0.47324,0.21122,0.18619,0.13328,0.97355,1.92488,1.18016,0.000286083,0.000286083,0.000286083
32,2077.95,1.06595,1.24864,1.06216,0.4587,0.21554,0.188,0.13612,0.97139,1.92763,1.1819,0.000258585,0.000258585,0.000258585
33,2137.85,1.04515,1.21462,1.06008,0.42646,0.23857,0.18597,0.13385,0.96647,1.90652,1.17875,0.000231088,0.000231088,0.000231088
34,2198.71,1.03085,1.17327,1.0468,0.24295,0.2515,0.19486,0.14292,0.94682,1.88448,1.16771,0.000203591,0.000203591,0.000203591
35,2263.23,1.03401,1.16581,1.04768,0.24002,0.25032,0.19063,0.13812,0.97074,1.90266,1.18846,0.000176094,0.000176094,0.000176094
36,2324.23,1.02246,1.10327,1.04073,0.22723,0.24493,0.18904,0.13915,0.96444,1.94821,1.17564,0.000148596,0.000148596,0.000148596
37,2383.9,1.00973,1.08596,1.03167,0.23443,0.24392,0.19923,0.14649,0.95925,1.90839,1.16871,0.000121099,0.000121099,0.000121099
38,2445.15,1.00076,1.05613,1.0267,0.23395,0.24883,0.19171,0.14141,0.95488,1.95649,1.17059,9.36017e-05,9.36017e-05,9.36017e-05
39,2506.88,0.98638,1.03232,1.02054,0.24665,0.24171,0.19028,0.14078,0.94006,1.97462,1.16747,6.61045e-05,6.61045e-05,6.61045e-05
40,2569.25,0.98447,1.01879,1.02058,0.2285,0.24247,0.1904,0.14173,0.93958,1.97981,1.16284,3.86073e-05,3.86073e-05,3.86073e-05
