epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.4428,1.37833,3.41568,1.26583,0.32156,0.20429,0.11522,0.07574,1.21551,2.56934,1.34489,0.000368642,0.000368642,0.000368642
2,130.257,1.44495,2.82865,1.31271,0.31797,0.18456,0.10131,0.0639,1.32843,2.58192,1.48755,0.000665817,0.000665817,0.000665817
3,190.845,1.45503,2.54554,1.30782,0.36312,0.19156,0.11696,0.07521,1.28233,2.39344,1.4091,0.000889666,0.000889666,0.000889666
4,250.501,1.44989,2.3613,1.2985,0.35347,0.18763,0.11597,0.07356,1.29879,2.32669,1.39923,0.000781033,0.000781033,0.000781033
5,310.974,1.39396,2.22533,1.27312,0.35028,0.21583,0.13592,0.0869,1.23039,2.17916,1.39855,0.000671044,0.000671044,0.000671044
6,371.483,1.34011,2.09392,1.23236,0.35894,0.2303,0.16236,0.1112,1.15696,2.0464,1.29418,0.000561055,0.000561055,0.000561055
7,431.202,1.29718,1.98799,1.1971,0.39669,0.25964,0.18023,0.12858,1.05763,1.88186,1.20862,0.000451066,0.000451066,0.000451066
8,490.824,1.2379,1.87157,1.16945,0.39934,0.25289,0.18175,0.12912,1.03439,1.89024,1.22043,0.000341077,0.000341077,0.000341077
9,550.936,1.19682,1.79005,1.14445,0.39784,0.24779,0.18944,0.14125,0.99056,1.8299,1.17966,0.000231088,0.000231088,0.000231088
10,609.934,1.15813,1.68756,1.11599,0.41396,0.24484,0.18946,0.13786,0.97667,1.84191,1.16759,0.000121099,0.000121099,0.000121099
